SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Thu May 04 17:46:22 BRT 2017
User: aluno
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2+H08582
Integration Time (usec): 100000 (USB2+H08582)
Spectra Averaged: 1 (USB2+H08582)
Boxcar Smoothing: 0 (USB2+H08582)
Correct for Electrical Dark: No (USB2+H08582)
Strobe/Lamp Enabled: No (USB2+H08582)
Correct for Detector Non-linearity: No (USB2+H08582)
Correct for Stray Light: No (USB2+H08582)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
0,00	369,80
1,00	369,80
2,00	369,80
3,00	339,38
4,00	383,85
5,00	393,21
6,00	334,70
7,00	308,95
8,00	287,89
9,00	297,25
10,00	353,42
11,00	292,57
12,00	365,12
13,00	395,55
14,00	367,46
15,00	299,59
16,00	313,63
17,00	306,61
18,00	393,21
19,00	353,42
20,00	358,10
21,00	374,49
22,00	418,96
23,00	456,40
24,00	400,23
25,00	421,30
26,00	468,11
27,00	458,74
28,00	393,21
29,00	514,92
30,00	402,57
31,00	447,04
32,00	489,17
33,00	517,26
34,00	470,45
35,00	477,47
36,00	521,94
37,00	491,51
38,00	496,19
39,00	500,87
40,00	484,49
41,00	500,87
42,00	547,69
43,00	550,03
44,00	498,53
45,00	510,24
46,00	484,49
47,00	500,87
48,00	533,64
49,00	442,36
50,00	524,28
51,00	533,64
52,00	538,32
53,00	475,13
54,00	505,56
55,00	463,43
56,00	498,53
57,00	540,66
58,00	550,03
59,00	503,22
60,00	503,22
61,00	503,22
62,00	524,28
63,00	435,34
64,00	507,90
65,00	447,04
66,00	561,73
67,00	557,05
68,00	498,53
69,00	475,13
70,00	458,74
71,00	538,32
72,00	503,22
73,00	470,45
74,00	479,81
75,00	571,09
76,00	482,15
77,00	437,68
78,00	489,17
79,00	498,53
80,00	505,56
81,00	561,73
82,00	393,21
83,00	540,66
84,00	517,26
85,00	489,17
86,00	540,66
87,00	496,19
88,00	500,87
89,00	449,38
90,00	601,52
91,00	482,15
92,00	528,96
93,00	533,64
94,00	571,09
95,00	496,19
96,00	475,13
97,00	510,24
98,00	547,69
99,00	500,87
100,00	533,64
101,00	503,22
102,00	545,34
103,00	437,68
104,00	564,07
105,00	503,22
106,00	507,90
107,00	559,39
108,00	496,19
109,00	498,53
110,00	491,51
111,00	482,15
112,00	493,85
113,00	526,62
114,00	517,26
115,00	547,69
116,00	493,85
117,00	447,04
118,00	528,96
119,00	578,11
120,00	507,90
121,00	477,47
122,00	517,26
123,00	543,00
124,00	493,85
125,00	498,53
126,00	538,32
127,00	479,81
128,00	543,00
129,00	535,98
130,00	507,90
131,00	545,34
132,00	514,92
133,00	528,96
134,00	491,51
135,00	550,03
136,00	475,13
137,00	498,53
138,00	524,28
139,00	521,94
140,00	519,60
141,00	514,92
142,00	484,49
143,00	463,43
144,00	500,87
145,00	491,51
146,00	482,15
147,00	486,83
148,00	468,11
149,00	454,06
150,00	507,90
151,00	498,53
152,00	505,56
153,00	543,00
154,00	505,56
155,00	496,19
156,00	482,15
157,00	484,49
158,00	580,45
159,00	559,39
160,00	470,45
161,00	489,17
162,00	526,62
163,00	451,72
164,00	519,60
165,00	531,30
166,00	458,74
167,00	575,77
168,00	564,07
169,00	472,79
170,00	458,74
171,00	491,51
172,00	528,96
173,00	498,53
174,00	512,58
175,00	547,69
176,00	454,06
177,00	554,71
178,00	503,22
179,00	519,60
180,00	449,38
181,00	641,31
182,00	500,87
183,00	540,66
184,00	545,34
185,00	447,04
186,00	484,49
187,00	477,47
188,00	482,15
189,00	554,71
190,00	528,96
191,00	528,96
192,00	514,92
193,00	479,81
194,00	568,75
195,00	517,26
196,00	517,26
197,00	543,00
198,00	493,85
199,00	479,81
200,00	503,22
201,00	437,68
202,00	545,34
203,00	491,51
204,00	463,43
205,00	475,13
206,00	491,51
207,00	463,43
208,00	486,83
209,00	521,94
210,00	505,56
211,00	500,87
212,00	510,24
213,00	484,49
214,00	543,00
215,00	468,11
216,00	500,87
217,00	496,19
218,00	519,60
219,00	521,94
220,00	493,85
221,00	519,60
222,00	521,94
223,00	517,26
224,00	489,17
225,00	489,17
226,00	486,83
227,00	524,28
228,00	486,83
229,00	482,15
230,00	498,53
231,00	519,60
232,00	491,51
233,00	528,96
234,00	550,03
235,00	514,92
236,00	493,85
237,00	531,30
238,00	533,64
239,00	500,87
240,00	524,28
241,00	535,98
