SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Thu May 04 18:21:46 BRT 2017
User: aluno
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2+H08582
Integration Time (usec): 79000 (USB2+H08582)
Spectra Averaged: 1 (USB2+H08582)
Boxcar Smoothing: 0 (USB2+H08582)
Correct for Electrical Dark: No (USB2+H08582)
Strobe/Lamp Enabled: No (USB2+H08582)
Correct for Detector Non-linearity: No (USB2+H08582)
Correct for Stray Light: No (USB2+H08582)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
0,00	414,27
1,00	414,27
2,00	414,27
3,00	301,93
4,00	322,99
5,00	348,74
6,00	315,97
7,00	276,18
8,00	304,27
9,00	308,95
10,00	241,08
11,00	283,20
12,00	304,27
13,00	248,10
14,00	318,31
15,00	271,50
16,00	294,91
17,00	362,78
18,00	376,83
19,00	337,04
20,00	292,57
21,00	372,15
22,00	337,04
23,00	421,30
24,00	379,17
25,00	444,70
26,00	355,76
27,00	355,76
28,00	379,17
29,00	418,96
30,00	423,64
31,00	404,91
32,00	468,11
33,00	500,87
34,00	416,62
35,00	475,13
36,00	475,13
37,00	514,92
38,00	470,45
39,00	493,85
40,00	444,70
41,00	433,00
42,00	444,70
43,00	472,79
44,00	482,15
45,00	475,13
46,00	421,30
47,00	430,66
48,00	486,83
49,00	418,96
50,00	400,23
51,00	507,90
52,00	442,36
53,00	393,21
54,00	395,55
55,00	430,66
56,00	496,19
57,00	500,87
58,00	418,96
59,00	486,83
60,00	444,70
61,00	421,30
62,00	578,11
63,00	479,81
64,00	430,66
65,00	418,96
66,00	433,00
67,00	437,68
68,00	400,23
69,00	365,12
70,00	397,89
71,00	397,89
72,00	372,15
73,00	510,24
74,00	449,38
75,00	475,13
76,00	475,13
77,00	407,25
78,00	458,74
79,00	463,43
80,00	491,51
81,00	433,00
82,00	491,51
83,00	468,11
84,00	423,64
85,00	402,57
86,00	360,44
87,00	428,32
88,00	463,43
89,00	463,43
90,00	507,90
91,00	465,77
92,00	400,23
93,00	444,70
94,00	463,43
95,00	433,00
96,00	514,92
97,00	456,40
98,00	465,77
99,00	486,83
100,00	442,36
101,00	393,21
102,00	454,06
103,00	447,04
104,00	465,77
105,00	395,55
106,00	442,36
107,00	423,64
108,00	430,66
109,00	472,79
110,00	458,74
111,00	449,38
112,00	447,04
113,00	395,55
114,00	416,62
115,00	435,34
116,00	461,09
117,00	414,27
118,00	440,02
119,00	425,98
120,00	435,34
121,00	463,43
122,00	435,34
123,00	449,38
124,00	423,64
125,00	477,47
126,00	486,83
127,00	458,74
128,00	433,00
129,00	451,72
130,00	468,11
131,00	484,49
132,00	416,62
133,00	470,45
134,00	376,83
135,00	458,74
136,00	458,74
137,00	498,53
138,00	449,38
139,00	458,74
140,00	440,02
141,00	491,51
142,00	465,77
143,00	482,15
144,00	454,06
145,00	440,02
146,00	472,79
147,00	463,43
148,00	482,15
149,00	435,34
150,00	465,77
151,00	493,85
152,00	442,36
153,00	463,43
154,00	461,09
155,00	444,70
156,00	437,68
157,00	449,38
158,00	538,32
159,00	470,45
160,00	374,49
161,00	470,45
162,00	486,83
163,00	456,40
164,00	463,43
165,00	465,77
166,00	437,68
167,00	449,38
168,00	479,81
169,00	470,45
170,00	449,38
171,00	428,32
172,00	498,53
173,00	435,34
174,00	428,32
175,00	510,24
176,00	519,60
177,00	461,09
178,00	512,58
179,00	470,45
180,00	437,68
181,00	500,87
182,00	477,47
183,00	482,15
184,00	498,53
185,00	468,11
186,00	458,74
187,00	393,21
188,00	428,32
189,00	411,93
190,00	482,15
191,00	458,74
192,00	433,00
193,00	433,00
194,00	498,53
195,00	458,74
196,00	435,34
197,00	524,28
198,00	435,34
199,00	517,26
200,00	493,85
201,00	418,96
202,00	458,74
203,00	454,06
204,00	421,30
205,00	461,09
206,00	477,47
207,00	528,96
208,00	489,17
209,00	489,17
210,00	430,66
211,00	430,66
212,00	418,96
213,00	451,72
214,00	461,09
215,00	456,40
216,00	475,13
217,00	472,79
218,00	477,47
219,00	409,59
220,00	470,45
221,00	400,23
222,00	416,62
223,00	519,60
224,00	461,09
225,00	456,40
226,00	451,72
227,00	538,32
228,00	463,43
229,00	355,76
230,00	404,91
231,00	407,25
232,00	404,91
233,00	458,74
234,00	521,94
235,00	482,15
236,00	468,11
237,00	411,93
238,00	500,87
239,00	447,04
240,00	486,83
241,00	458,74
242,00	505,56
243,00	475,13
244,00	482,15
245,00	510,24
246,00	493,85
247,00	517,26
248,00	505,56
249,00	498,53
250,00	418,96
251,00	484,49
252,00	395,55
253,00	397,89
254,00	458,74
255,00	440,02
256,00	369,80
257,00	496,19
258,00	496,19
259,00	461,09
260,00	477,47
261,00	430,66
262,00	416,62
263,00	475,13
264,00	442,36
265,00	449,38
266,00	430,66
267,00	421,30
268,00	454,06
269,00	491,51
270,00	475,13
271,00	435,34
272,00	423,64
273,00	440,02
274,00	486,83
275,00	409,59
276,00	468,11
277,00	491,51
278,00	440,02
279,00	470,45
280,00	470,45
281,00	444,70
282,00	449,38
283,00	423,64
284,00	526,62
285,00	517,26
286,00	451,72
287,00	423,64
288,00	437,68
289,00	414,27
290,00	491,51
291,00	430,66
292,00	491,51
293,00	477,47
294,00	475,13
295,00	503,22
296,00	428,32
297,00	449,38
298,00	456,40
299,00	456,40
300,00	472,79
301,00	437,68
302,00	456,40
303,00	491,51
304,00	430,66
305,00	421,30
306,00	433,00
307,00	554,71
308,00	493,85
