Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	550
Conversion Gain:	1024
Coarse Gain:	32
Fine Gain:	1.492
ULD:	100.0%
LLD:	0.0%
Calibration Coefficients:	-4.14632	1.54478	0.000139447
Channels used to calibrate:	51	324	773
Energies used to calibrate:	75	511	1273.29
Real Time Elapsed:	1253.71
Live Time Elapsed:	16.51
Start Time:	08/05/2017 11:14:04
Stop Time:	08/05/2017 11:35:07

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	14535332
1	1944322
2	15134735
3	89222
4	11223
5	7917
6	7408
7	8479
8	4807
9	3027
10	2146
11	912
12	745
13	713
14	776
15	855
16	844
17	1157
18	1970
19	1768
20	2025
21	1356
22	478
23	367
24	380
25	428
26	426
27	7340
28	19756
29	3634
30	479
31	437
32	418
33	416
34	434
35	415
36	403
37	421
38	474
39	485
40	491
41	504
42	530
43	566
44	577
45	582
46	665
47	688
48	746
49	786
50	792
51	828
52	886
53	937
54	881
55	844
56	762
57	743
58	780
59	750
60	668
61	618
62	623
63	609
64	549
65	533
66	484
67	486
68	442
69	452
70	380
71	445
72	408
73	407
74	406
75	407
76	377
77	392
78	381
79	393
80	399
81	400
82	383
83	391
84	367
85	380
86	373
87	418
88	422
89	378
90	403
91	392
92	388
93	386
94	412
95	384
96	406
97	383
98	375
99	410
100	390
101	391
102	436
103	407
104	424
105	398
106	421
107	419
108	419
109	426
110	415
111	425
112	411
113	422
114	414
115	424
116	425
117	431
118	454
119	456
120	465
121	474
122	458
123	416
124	447
125	436
126	424
127	452
128	443
129	440
130	499
131	459
132	464
133	459
134	470
135	461
136	453
137	476
138	488
139	426
140	470
141	441
142	490
143	498
144	455
145	456
146	455
147	479
148	484
149	475
150	448
151	487
152	468
153	468
154	469
155	450
156	460
157	465
158	432
159	478
160	470
161	452
162	455
163	464
164	461
165	460
166	448
167	426
168	422
169	458
170	464
171	458
172	438
173	434
174	443
175	446
176	411
177	445
178	467
179	456
180	423
181	464
182	424
183	461
184	438
185	403
186	416
187	384
188	434
189	477
190	412
191	394
192	411
193	422
194	420
195	392
196	414
197	411
198	416
199	380
200	357
201	409
202	412
203	424
204	387
205	405
206	388
207	412
208	383
209	380
210	379
211	380
212	396
213	389
214	384
215	395
216	372
217	365
218	363
219	389
220	399
221	371
222	380
223	357
224	386
225	406
226	377
227	381
228	364
229	399
230	347
231	354
232	349
233	348
234	346
235	356
236	334
237	342
238	372
239	334
240	321
241	362
242	370
243	360
244	361
245	342
246	359
247	313
248	334
249	337
250	379
251	314
252	356
253	317
254	367
255	345
256	353
257	374
258	339
259	313
260	357
261	317
262	321
263	356
264	296
265	337
266	341
267	296
268	349
269	325
270	285
271	336
272	275
273	315
274	306
275	295
276	304
277	321
278	303
279	306
280	277
281	309
282	302
283	277
284	294
285	300
286	263
287	303
288	270
289	304
290	282
291	274
292	255
293	267
294	258
295	263
296	245
297	263
298	264
299	236
300	236
301	236
302	250
303	223
304	236
305	200
306	210
307	211
308	192
309	223
310	216
311	198
312	206
313	180
314	183
315	172
316	166
317	166
318	160
319	169
320	152
321	167
322	153
323	150
324	142
325	140
326	142
327	142
328	139
329	124
330	116
331	109
332	117
333	123
334	111
335	138
336	130
337	121
338	105
339	145
340	126
341	134
342	131
343	146
344	162
345	123
346	119
347	137
348	141
349	122
350	132
351	156
352	145
353	160
354	141
355	147
356	167
357	151
358	127
359	163
360	186
361	155
362	157
363	161
364	188
365	181
366	185
367	193
368	200
369	213
370	229
371	210
372	206
373	224
374	240
375	239
376	297
377	282
378	285
379	296
380	323
381	305
382	323
383	303
384	358
385	369
386	378
387	405
388	441
389	418
390	435
391	424
392	478
393	482
394	459
395	519
396	543
397	556
398	531
399	533
400	619
401	608
402	614
403	575
404	657
405	622
406	687
407	677
408	670
409	676
410	687
411	681
412	699
413	699
414	732
415	820
416	734
417	675
418	673
419	721
420	705
421	696
422	660
423	697
424	612
425	677
426	670
427	600
428	622
429	590
430	622
431	535
432	542
433	509
434	461
435	511
436	493
437	467
438	415
439	391
440	410
441	387
442	394
443	327
444	332
445	289
446	300
447	270
448	251
