Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	550
Conversion Gain:	1024
Coarse Gain:	32
Fine Gain:	1.492
ULD:	100.0%
LLD:	0.0%
Calibration Coefficients:	-4.14632	1.54478	0.000139447
Channels used to calibrate:	51	324	773
Energies used to calibrate:	75	511	1273.29
Real Time Elapsed:	1991.1
Live Time Elapsed:	22.86
Start Time:	08/05/2017 14:15:39
Stop Time:	08/05/2017 14:48:56

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	10061663
1	12762383
2	6913632
3	128277
4	15680
5	11182
6	10439
7	11421
8	7125
9	3553
10	2724
11	789
12	408
13	418
14	415
15	447
16	422
17	477
18	1103
19	1084
20	1227
21	1412
22	390
23	126
24	132
25	103
26	114
27	200
28	2002
29	1939
30	165
31	125
32	112
33	96
34	110
35	128
36	131
37	127
38	147
39	154
40	190
41	192
42	216
43	208
44	223
45	248
46	295
47	308
48	359
49	348
50	384
51	356
52	344
53	389
54	351
55	383
56	405
57	358
58	400
59	392
60	374
61	378
62	388
63	332
64	353
65	355
66	341
67	372
68	348
69	361
70	314
71	363
72	370
73	383
74	421
75	481
76	531
77	544
78	654
79	713
80	777
81	858
82	902
83	1005
84	1017
85	1016
86	985
87	935
88	952
89	859
90	858
91	761
92	676
93	631
94	525
95	456
96	400
97	365
98	325
99	302
100	248
101	217
102	197
103	184
104	156
105	184
106	154
107	117
108	135
109	135
110	131
111	124
112	98
113	122
114	109
115	99
116	108
117	122
118	115
119	109
120	94
121	104
122	101
123	101
124	102
125	102
126	84
127	93
128	106
129	88
130	93
131	68
132	94
133	97
134	84
135	96
136	82
137	77
138	99
139	88
140	101
141	105
142	86
143	93
144	69
145	92
146	90
147	63
148	61
149	92
150	75
151	71
152	76
153	83
154	71
155	67
156	79
157	73
158	64
159	75
160	60
161	58
162	63
163	70
164	62
165	63
166	70
167	75
168	56
169	48
170	50
171	49
172	65
173	62
174	58
175	51
176	48
177	42
178	45
179	46
180	56
181	58
182	56
183	46
184	52
185	59
186	61
187	49
188	54
189	54
190	50
191	57
192	47
193	48
194	32
195	52
196	44
197	45
198	63
199	47
200	37
201	42
202	50
203	45
204	48
205	56
206	40
207	42
208	41
209	38
210	46
211	37
212	39
213	35
214	43
215	32
216	48
217	48
218	38
219	35
220	38
221	37
222	42
223	38
224	40
225	33
226	27
227	36
228	37
229	43
230	35
231	42
232	40
233	40
234	35
235	34
236	45
237	39
238	41
239	26
240	37
241	34
242	26
243	38
244	28
245	38
246	25
247	29
248	37
249	32
250	28
251	26
252	47
253	39
254	32
255	28
256	26
257	25
258	27
259	23
260	18
261	21
262	35
263	23
264	30
265	35
266	24
267	16
268	21
269	29
270	25
271	26
272	30
273	26
274	14
275	22
276	27
277	25
278	28
279	16
280	32
281	25
282	30
283	33
284	23
285	19
286	21
287	20
288	26
289	37
290	22
291	28
292	35
293	29
294	26
295	23
296	31
297	23
298	27
299	28
300	26
301	39
302	30
303	26
304	22
305	27
306	25
307	25
308	16
309	20
310	24
311	22
312	28
313	19
314	17
315	17
316	24
317	17
318	22
319	23
320	23
321	28
322	27
323	19
324	20
325	28
326	32
327	32
328	25
329	25
330	30
331	24
332	12
333	23
334	14
335	27
336	22
337	16
338	20
339	26
340	25
341	22
342	18
343	22
344	24
345	33
346	20
347	18
348	26
349	24
350	25
351	19
352	24
353	17
354	22
355	18
356	15
357	17
358	14
359	15
360	18
361	18
362	10
363	15
364	20
365	26
366	22
367	20
368	17
369	21
370	16
371	27
372	15
373	14
374	16
375	21
376	21
377	13
378	16
379	19
380	18
381	18
382	13
383	14
384	21
385	16
386	18
387	14
388	15
389	15
390	18
391	21
392	5
393	15
394	13
395	7
396	13
397	19
398	22
399	11
400	23
401	10
402	20
403	23
404	15
405	16
406	15
407	22
408	8
409	16
410	16
411	18
412	19
413	11
414	25
415	13
416	15
417	15
418	16
419	15
420	19
421	17
422	8
423	19
424	14
425	15
426	13
427	18
428	10
429	9
430	15
431	9
432	9
433	16
434	22
435	17
436	10
437	19
438	21
439	16
440	16
441	11
442	15
443	14
444	10
445	14
446	11
447	7
