Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	550
Conversion Gain:	1024
Coarse Gain:	32
Fine Gain:	1.492
ULD:	100.0%
LLD:	0.0%
Calibration Coefficients:	-4.14632	1.54478	0.000139447
Channels used to calibrate:	51	324	773
Energies used to calibrate:	75	511	1273.29
Real Time Elapsed:	1218.32
Live Time Elapsed:	15.46
Start Time:	08/05/2017 10:52:42
Stop Time:	08/05/2017 11:12:24

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	13068686
1	1635040
2	14676052
3	84455
4	10441
5	7337
6	6972
7	7937
8	4220
9	2731
10	1811
11	694
12	602
13	608
14	618
15	639
16	639
17	1023
18	1608
19	1397
20	1611
21	874
22	370
23	325
24	319
25	299
26	436
27	7263
28	13924
29	1711
30	400
31	342
32	327
33	321
34	334
35	329
36	316
37	322
38	346
39	349
40	364
41	371
42	391
43	422
44	440
45	515
46	514
47	546
48	578
49	579
50	648
51	658
52	641
53	684
54	644
55	648
56	648
57	570
58	557
59	550
60	495
61	500
62	465
63	419
64	436
65	377
66	370
67	341
68	339
69	300
70	350
71	342
72	317
73	314
74	334
75	302
76	279
77	309
78	303
79	288
80	337
81	325
82	291
83	300
84	338
85	310
86	318
87	319
88	284
89	325
90	288
91	319
92	305
93	314
94	319
95	307
96	298
97	305
98	306
99	304
100	319
101	321
102	306
103	313
104	320
105	305
106	312
107	321
108	308
109	301
110	319
111	349
112	302
113	312
114	355
115	345
116	352
117	329
118	306
119	341
120	347
121	342
122	353
123	325
124	355
125	379
126	335
127	354
128	360
129	332
130	382
131	351
132	335
133	367
134	378
135	370
136	406
137	369
138	370
139	351
140	345
141	365
142	369
143	388
144	376
145	367
146	390
147	345
148	378
149	369
150	345
151	347
152	341
153	383
154	388
155	364
156	364
157	346
158	324
159	351
160	338
161	342
162	343
163	343
164	365
165	363
166	306
167	295
168	326
169	331
170	338
171	313
172	353
173	344
174	333
175	300
176	288
177	304
178	325
179	340
180	306
181	355
182	328
183	303
184	312
185	272
186	303
187	313
188	291
189	362
190	323
191	324
192	303
193	313
194	311
195	329
196	276
197	302
198	288
199	311
200	298
201	284
202	332
203	300
204	298
205	297
206	273
207	283
208	275
209	282
210	258
211	312
212	322
213	280
214	309
215	289
216	289
217	286
218	283
219	318
220	306
221	287
222	300
223	290
224	273
225	297
226	277
227	291
228	269
229	281
230	287
231	305
232	229
233	257
234	278
235	263
236	288
237	262
238	252
239	294
240	249
241	267
242	274
243	281
244	276
245	257
246	284
247	218
248	243
249	256
250	281
251	260
252	276
253	251
254	279
255	272
256	255
257	247
258	253
259	302
260	257
261	261
262	246
263	230
264	262
265	259
266	242
267	256
268	245
269	245
270	234
271	279
272	263
273	263
274	247
275	236
276	269
277	238
278	240
279	238
280	250
281	244
282	273
283	236
284	237
285	233
286	227
287	236
288	230
289	231
290	254
291	215
292	226
293	240
294	209
295	206
296	233
297	189
298	216
299	209
300	205
301	173
302	177
303	210
304	172
305	165
306	182
307	163
308	150
309	174
310	198
311	154
312	165
313	169
314	118
315	157
316	155
317	130
318	132
319	137
320	128
321	124
322	122
323	149
324	129
325	115
326	125
327	119
328	111
329	145
330	104
331	104
332	131
333	105
334	120
335	121
336	110
337	101
338	106
339	131
340	125
341	114
342	105
343	101
344	125
345	117
346	114
347	102
348	113
349	137
350	124
351	112
352	119
353	119
354	122
355	117
356	128
357	132
358	102
359	117
360	141
361	135
362	144
363	162
364	141
365	159
366	149
367	160
368	156
369	180
370	149
371	168
372	189
373	192
374	194
375	197
376	184
377	228
378	231
379	222
380	211
381	269
382	248
383	258
384	232
385	260
386	267
387	286
388	349
389	322
390	332
391	314
392	348
393	348
394	367
395	352
396	364
397	386
398	415
399	368
400	395
401	407
402	443
403	432
404	453
405	425
406	504
407	437
408	472
409	459
410	468
411	469
412	497
413	460
414	465
415	464
416	473
417	449
418	519
419	470
420	502
421	485
422	463
423	463
424	422
425	455
426	444
427	444
428	455
429	408
430	376
431	399
432	377
433	403
434	338
435	345
436	303
437	333
438	327
439	277
440	272
441	277
442	208
443	213
444	227
445	204
446	200
447	199
448	193
